# Polarfly q=13 adjacency (sidecar)
# 183 vertices, 1274 edges
# index  point(a:b:c)
V 001  0:0:1
V 002  0:1:0
V 003  0:1:1
V 004  0:1:2
V 005  0:1:3
V 006  0:1:4
V 007  0:1:5
V 008  0:1:6
V 009  0:1:7
V 010  0:1:8
V 011  0:1:9
V 012  0:1:10
V 013  0:1:11
V 014  0:1:12
V 015  1:0:0
V 016  1:0:1
V 017  1:0:2
V 018  1:0:3
V 019  1:0:4
V 020  1:0:5
V 021  1:0:6
V 022  1:0:7
V 023  1:0:8
V 024  1:0:9
V 025  1:0:10
V 026  1:0:11
V 027  1:0:12
V 028  1:1:0
V 029  1:1:1
V 030  1:1:2
V 031  1:1:3
V 032  1:1:4
V 033  1:1:5
V 034  1:1:6
V 035  1:1:7
V 036  1:1:8
V 037  1:1:9
V 038  1:1:10
V 039  1:1:11
V 040  1:1:12
V 041  1:2:0
V 042  1:2:1
V 043  1:2:2
V 044  1:2:3
V 045  1:2:4
V 046  1:2:5
V 047  1:2:6
V 048  1:2:7
V 049  1:2:8
V 050  1:2:9
V 051  1:2:10
V 052  1:2:11
V 053  1:2:12
V 054  1:3:0
V 055  1:3:1
V 056  1:3:2
V 057  1:3:3
V 058  1:3:4
V 059  1:3:5
V 060  1:3:6
V 061  1:3:7
V 062  1:3:8
V 063  1:3:9
V 064  1:3:10
V 065  1:3:11
V 066  1:3:12
V 067  1:4:0
V 068  1:4:1
V 069  1:4:2
V 070  1:4:3
V 071  1:4:4
V 072  1:4:5
V 073  1:4:6
V 074  1:4:7
V 075  1:4:8
V 076  1:4:9
V 077  1:4:10
V 078  1:4:11
V 079  1:4:12
V 080  1:5:0
V 081  1:5:1
V 082  1:5:2
V 083  1:5:3
V 084  1:5:4
V 085  1:5:5
V 086  1:5:6
V 087  1:5:7
V 088  1:5:8
V 089  1:5:9
V 090  1:5:10
V 091  1:5:11
V 092  1:5:12
V 093  1:6:0
V 094  1:6:1
V 095  1:6:2
V 096  1:6:3
V 097  1:6:4
V 098  1:6:5
V 099  1:6:6
V 100  1:6:7
V 101  1:6:8
V 102  1:6:9
V 103  1:6:10
V 104  1:6:11
V 105  1:6:12
V 106  1:7:0
V 107  1:7:1
V 108  1:7:2
V 109  1:7:3
V 110  1:7:4
V 111  1:7:5
V 112  1:7:6
V 113  1:7:7
V 114  1:7:8
V 115  1:7:9
V 116  1:7:10
V 117  1:7:11
V 118  1:7:12
V 119  1:8:0
V 120  1:8:1
V 121  1:8:2
V 122  1:8:3
V 123  1:8:4
V 124  1:8:5
V 125  1:8:6
V 126  1:8:7
V 127  1:8:8
V 128  1:8:9
V 129  1:8:10
V 130  1:8:11
V 131  1:8:12
V 132  1:9:0
V 133  1:9:1
V 134  1:9:2
V 135  1:9:3
V 136  1:9:4
V 137  1:9:5
V 138  1:9:6
V 139  1:9:7
V 140  1:9:8
V 141  1:9:9
V 142  1:9:10
V 143  1:9:11
V 144  1:9:12
V 145  1:10:0
V 146  1:10:1
V 147  1:10:2
V 148  1:10:3
V 149  1:10:4
V 150  1:10:5
V 151  1:10:6
V 152  1:10:7
V 153  1:10:8
V 154  1:10:9
V 155  1:10:10
V 156  1:10:11
V 157  1:10:12
V 158  1:11:0
V 159  1:11:1
V 160  1:11:2
V 161  1:11:3
V 162  1:11:4
V 163  1:11:5
V 164  1:11:6
V 165  1:11:7
V 166  1:11:8
V 167  1:11:9
V 168  1:11:10
V 169  1:11:11
V 170  1:11:12
V 171  1:12:0
V 172  1:12:1
V 173  1:12:2
V 174  1:12:3
V 175  1:12:4
V 176  1:12:5
V 177  1:12:6
V 178  1:12:7
V 179  1:12:8
V 180  1:12:9
V 181  1:12:10
V 182  1:12:11
V 183  1:12:12
# i  j  (1-indexed switch IDs)
E 001 002
E 001 015
E 001 028
E 001 041
E 001 054
E 001 067
E 001 080
E 001 093
E 001 106
E 001 119
E 001 132
E 001 145
E 001 158
E 001 171
E 002 015
E 002 016
E 002 017
E 002 018
E 002 019
E 002 020
E 002 021
E 002 022
E 002 023
E 002 024
E 002 025
E 002 026
E 002 027
E 003 014
E 003 015
E 003 040
E 003 052
E 003 064
E 003 076
E 003 088
E 003 100
E 003 112
E 003 124
E 003 136
E 003 148
E 003 160
E 003 172
E 004 008
E 004 015
E 004 034
E 004 053
E 004 059
E 004 078
E 004 084
E 004 103
E 004 109
E 004 128
E 004 134
E 004 153
E 004 159
E 004 178
E 005 006
E 005 015
E 005 032
E 005 049
E 005 066
E 005 070
E 005 087
E 005 104
E 005 108
E 005 125
E 005 142
E 005 146
E 005 163
E 005 180
E 006 015
E 006 031
E 006 047
E 006 063
E 006 079
E 006 082
E 006 098
E 006 114
E 006 130
E 006 133
E 006 149
E 006 165
E 006 181
E 007 015
E 007 033
E 007 051
E 007 056
E 007 074
E 007 092
E 007 097
E 007 115
E 007 120
E 007 138
E 007 156
E 007 161
E 007 179
E 008 015
E 008 030
E 008 045
E 008 060
E 008 075
E 008 090
E 008 105
E 008 107
E 008 122
E 008 137
E 008 152
E 008 167
E 008 182
E 009 013
E 009 015
E 009 039
E 009 050
E 009 061
E 009 072
E 009 083
E 009 094
E 009 118
E 009 129
E 009 140
E 009 151
E 009 162
E 009 173
E 010 015
E 010 036
E 010 044
E 010 065
E 010 073
E 010 081
E 010 102
E 010 110
E 010 131
E 010 139
E 010 147
E 010 168
E 010 176
E 011 012
E 011 015
E 011 038
E 011 048
E 011 058
E 011 068
E 011 091
E 011 101
E 011 111
E 011 121
E 011 144
E 011 154
E 011 164
E 011 174
E 012 015
E 012 037
E 012 046
E 012 055
E 012 077
E 012 086
E 012 095
E 012 117
E 012 126
E 012 135
E 012 157
E 012 166
E 012 175
E 013 015
E 013 035
E 013 042
E 013 062
E 013 069
E 013 089
E 013 096
E 013 116
E 013 123
E 013 143
E 013 150
E 013 170
E 013 177
E 014 015
E 014 029
E 014 043
E 014 057
E 014 071
E 014 085
E 014 099
E 014 113
E 014 127
E 014 141
E 014 155
E 014 169
E 014 183
E 016 027
E 016 040
E 016 053
E 016 066
E 016 079
E 016 092
E 016 105
E 016 118
E 016 131
E 016 144
E 016 157
E 016 170
E 016 183
E 017 021
E 017 034
E 017 047
E 017 060
E 017 073
E 017 086
E 017 099
E 017 112
E 017 125
E 017 138
E 017 151
E 017 164
E 017 177
E 018 019
E 018 032
E 018 045
E 018 058
E 018 071
E 018 084
E 018 097
E 018 110
E 018 123
E 018 136
E 018 149
E 018 162
E 018 175
E 019 031
E 019 044
E 019 057
E 019 070
E 019 083
E 019 096
E 019 109
E 019 122
E 019 135
E 019 148
E 019 161
E 019 174
E 020 033
E 020 046
E 020 059
E 020 072
E 020 085
E 020 098
E 020 111
E 020 124
E 020 137
E 020 150
E 020 163
E 020 176
E 021 030
E 021 043
E 021 056
